acpi 1.7-3
acpid 2.0.32-2
alsa-firmware 1.2.1-2
alsa-utils 1.2.3-2
android-tools 30.0.3-1
android-udev 20200613-1
apparmor 2.13.4-6
arandr 0.1.10-4
ark 20.08.0-1
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
bash-completion 2.11-1
bauh 0.9.6-1
bind 9.16.6-1
binutils 2.35-1
bison 3.6.4-1
bluedevil 1:5.19.4-1.1
btrfs-progs 5.7-1
bumblebee 3.2.1-22
bzip2 1.0.8-3
chromium 84.0.4147.135-1
clang 10.0.1-1
coreutils 8.32-1
cpupower 5.7-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.3-1
cups 2.3.3-3
cups-pdf 3.0.1-5
cups-pk-helper 0.2.6-4
dell-bios-fan-control-git r3.a2c81a2-1
device-mapper 2.02.187-3
dhclient 4.4.2-2
dhcpcd 9.1.4-2
diffutils 3.7-3
discord 0.0.11-1
dmenu 4.9-1.1
dmidecode 3.2-2
dmraid 1.0.0.rc16.3-12
dnsmasq 2.82-2
docker 1:19.03.12-2
docker-compose 1.26.2-1
dolphin 20.08.0-1
dolphin-plugins 20.08.0-1
dosfstools 4.1-3
dunst 1.5.0-1.0
e2fsprogs 1.45.6-2
ecryptfs-utils 111-4
efibootmgr 17-1
emacs 27.1-2
exfat-utils 1.3.0-2
f2fs-tools 1.13.0-2
fakeroot 1.24-2
fblog 2.1.0-1
feh 3.4.1-1
ffmpeg 2:4.3.1-2
ffmpegthumbs 20.08.0-1
file 5.39-1
filelight 20.08.0-1
filesystem 2020.05-1
findutils 4.7.0-2
firefox-developer-edition 80.0b8-1
flatpak 1.8.1-1
flex 2.6.4-3
fwupd 1.4.5-2
fzf 0.22.0-1
gawk 5.1.0-1
gcc 10.2.0-1
gcc-libs 10.2.0-1
gdb 9.2-1
gettext 0.20.2-1
ghostscript 9.52-1
gimp 2.10.20-1
git 2.28.0-1
githud 2.0.2-1
glibc 2.32-2
gnome-icon-theme 3.12.0-6
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
go 2:1.15-1
gradle 6.5.1-1
grep 3.4-1
grub 2.04-11.1
grub-theme-manjaro 20.1-1
gsfonts 20180524-3
gst-libav 1.16.2-2
gst-plugins-bad 1.16.2-13
gst-plugins-base 1.16.2-2
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-4
gtk-theme-breath 5.9.0-1
gtk3 1:3.24.22-1
gvfs 1.44.1-4
gvfs-afc 1.44.1-4
gvfs-gphoto2 1.44.1-4
gvfs-mtp 1.44.1-4
gvfs-nfs 1.44.1-4
gvfs-smb 1.44.1-4
gwenview 20.08.0-1
gzip 1.10-3
haveged 1.9.13-1
hdx-realtime-media-engine 2.9.100-0
hplip 1:3.20.6-3
htop 2.2.0-3
hub 2.14.2-2
i3-wm 4.18.2-2
i3blocks 1.5-3
i3blocks-contrib 1.4.0-4
i3lock 2.12-2
i8kutils 1.43-3
icaclient 20.06-1
illyria-wallpaper 1.4-1
